Categoría,Línea,Código,Producto,Precio venta Brillan’tico
Lavandería,REFORZADOR DE AROMA PA,1266,Reforzador de Aroma Baby (Litro con trigger),2327.83
Lavandería,REFORZADOR DE AROMA PA,1268,Reforzador de Aroma Floral (Litro con trigger),2327.83
Lavandería,REFORZADOR DE AROMA PA,1265,Reforzador de Aroma Lavanda (Litro con trigger),2327.83
Lavandería,REFORZADOR DE AROMA PA,427,Reforzador de Aroma Primavera (Litro con trigger),2327.83
Lavandería,REFORZADOR DE AROMA PA,1267,Reforzador de Aroma Verde Sensacion (Litro con trigger),2327.83
Lavandería,REFORZADOR DE AROMA PA,1270,Reforzador de Aroma Baby (250ml),1370.25
Lavandería,REFORZADOR DE AROMA PA,1272,Reforzador de Aroma Floral (250ml),1370.25
Lavandería,REFORZADOR DE AROMA PA,1269,Reforzador de Aroma Lavanda (250ml),1370.25
Lavandería,REFORZADOR DE AROMA PA,184,Reforzador de Aroma Primavera (250ml),1370.25
Lavandería,REFORZADOR DE AROMA PA,1271,Reforzador de Aroma Verde Sensacion (250ml),1370.25
Desinfección,SANITIZANTE,192,Sanitizante con Aroma (1/2 Pichinga),6231.38
Desinfección,SANITIZANTE,274,Sanitizante con Aroma (Galón),2154.93
Desinfección,SANITIZANTE,181,Sanitizante con Aroma (Litro con Trigger),1822.43
Desinfección,SANITIZANTE,179,Sanitizante con Aroma (Litro Flip Top),1330.33
Desinfección,SANITIZANTE,172,Sanitizante con Aroma (Relleno por kilo),452.87
Superficies,SILICON ABRILLANTADOR (TI,217,Silicón abrillantador (1/2 Galón),3684.43
Superficies,SILICON ABRILLANTADOR (TI,13,Silicón abrillantador (1/2 Pichinga),16997.75
Superficies,SILICON ABRILLANTADOR (TI,218,Silicón abrillantador (240 ml),1363.58
Superficies,SILICON ABRILLANTADOR (TI,405,Silicón abrillantador (250 ml Bolsita),844.88
Superficies,SILICON ABRILLANTADOR (TI,338,Silicón abrillantador (500 ml Bolsita),1203.98
Superficies,SILICON ABRILLANTADOR (TI,219,Silicón abrillantador (Galón),6470.78
Superficies,SILICON ABRILLANTADOR (TI,431,Silicón abrillantador (relleno por kilo),1615.64
Superficies,SILICON ABRILLANTADOR (TI,360,Silicón abrillantador Flip Top (Litro),2281.28
Superficies,SILICON ABRILLANTADOR (TI,220,Silicón abrillantador Trigger (Litro),2926.33
Lavandería,SUAVIZANTE PARA ROPA,221,Suavizante p/ ropa (1/2 Galón),2746.78
Lavandería,SUAVIZANTE PARA ROPA,14,Suavizante p/ ropa (1/2 Pichinga),12256.28
Lavandería,SUAVIZANTE PARA ROPA,1254,Suavizante p/ ropa Baby (Galón),4435.88
Lavandería,SUAVIZANTE PARA ROPA,1256,Suavizante p/ ropa Floral (Galón),4435.88
Lavandería,SUAVIZANTE PARA ROPA,1253,Suavizante p/ ropa Lavanda (Galón),4435.88
Lavandería,SUAVIZANTE PARA ROPA,222,Suavizante p/ ropa Primavera (Galón),4435.88
Lavandería,SUAVIZANTE PARA ROPA,1255,Suavizante p/ ropa Verde Sensacion (Galón),4435.88
Lavandería,SUAVIZANTE PARA ROPA,1258,Suavizante p/ ropa Baby (Litro),1815.80
Lavandería,SUAVIZANTE PARA ROPA,1260,Suavizante p/ ropa Floral (Litro),1815.80
Lavandería,SUAVIZANTE PARA ROPA,1257,Suavizante p/ ropa Lavanda (Litro),1815.80
Lavandería,SUAVIZANTE PARA ROPA,223,Suavizante p/ ropa Primavera (Litro),1815.80
Lavandería,SUAVIZANTE PARA ROPA,1259,Suavizante p/ ropa Verde Sensacion (Litro),1815.80
Lavandería,SUAVIZANTE PARA ROPA,293,Suavizante p/ ropa (Relleno por kilo),1068.16
Limpieza general,VINAGRE PARA LIMPIEZA,42,Vinagre (Relleno por kilo),374.41
Limpieza general,VINAGRE PARA LIMPIEZA,325,Vinagre limpiador concentrado (1/2 Pichinga),5453.33
Limpieza general,VINAGRE PARA LIMPIEZA,466,Vinagre limpiador concentrado (Galón),1842.40
Limpieza general,VINAGRE PARA LIMPIEZA,349,Vinagre limpiador concentrado (Litro),1735.98
Accesorios y consumibles,PRODUCTOS VARIADOS,70,Alambrina Acero (12 und),4362.73
Accesorios y consumibles,PRODUCTOS VARIADOS,248,Bolsa Negra Bio Papelera (Paq. 15 uds),425.60
Accesorios y consumibles,PRODUCTOS VARIADOS,237,Bolsa Negra Bio Residencial (Paq. 10 uds),864.50
Accesorios y consumibles,Productos Variados,28,Caja cartón para galón,578.62
Accesorios y consumibles,PRODUCTOS VARIADOS,520,Cepillo Lechero,2081.78
Accesorios y consumibles,PRODUCTOS VARIADOS,493,Cera Irex Cremosa (Burbuja 330 ml),1755.96
Accesorios y consumibles,Productos Variados,336,Cinta Adhesiva Transparente (Unidad),1814.00
Accesorios y consumibles,Productos Variados,513,Desatascador para baño,1955.43
Accesorios y consumibles,PRODUCTOS VARIADOS,142,Disp Jabón ESPUMOSO 1000 ML,7815.08
Accesorios y consumibles,PRODUCTOS VARIADOS,224,Disp Jabón LIQUIDO 1000 ML,9273.25
Accesorios y consumibles,PRODUCTOS VARIADOS,1049,Dispensador de Toalla INTERFOLEADA,36144.75
Accesorios y consumibles,PRODUCTOS VARIADOS,283,Escoba LA PALMA (Unidad),2254.70
Accesorios y consumibles,PRODUCTOS VARIADOS,375,Esponja Scoth Brite Doble Uso (Unidad),931.33
Accesorios y consumibles,PRODUCTOS VARIADOS,479,Esponja 3M Verde (Unidad),501.52
Accesorios y consumibles,PRODUCTOS VARIADOS,500,Esponja Morada (Unidad),1330.01
Accesorios y consumibles,PRODUCTOS VARIADOS,322,Gancho para pisos #2 (Unidad),2966.23
Accesorios y consumibles,PRODUCTOS VARIADOS,288,Guantes Latex (Caja 100 Unids),6650.00
Accesorios y consumibles,PRODUCTOS VARIADOS,521,Guantes SATINADO S M L,665.00
Accesorios y consumibles,PRODUCTOS VARIADOS,501,Hisopo con base,2154.93
Accesorios y consumibles,Final,304,Herva Articol 720 ml,3039.32
Accesorios y consumibles,PRODUCTOS VARIADOS,399,Jabón Antib. Hotelero Petit (Unidad),117.37
Accesorios y consumibles,PRODUCTOS VARIADOS,398,Jabón Antib. XPro (Unidad),666.00
Accesorios y consumibles,PRODUCTOS VARIADOS,401,Jabón Azul Rallado 400grs (Unidad),1762.58
Accesorios y consumibles,PRODUCTOS VARIADOS,400,Jabón Barra Azul Don Lucho 200 grs (Unidad),858.18
Accesorios y consumibles,PRODUCTOS VARIADOS,226,Jabón Barra Azul Don Lucho 400 grs (Unidad),1556.43
Accesorios y consumibles,PRODUCTOS VARIADOS,489,Jabón Cilindro Irex Floral 270 grs (Unidad),419.65
Accesorios y consumibles,PRODUCTOS VARIADOS,486,Mecha p/ piso práctica #50 (Unidad),2573.11
Accesorios y consumibles,Final,310,Navajilla Dorco (1X12),3697.73
Accesorios y consumibles,PRODUCTOS VARIADOS,377,Pala para basura (Unidad),1711.36
Accesorios y consumibles,PRODUCTOS VARIADOS,508,Paño de MICRO FIBRA (UNIDAD),831.58
Accesorios y consumibles,PRODUCTOS VARIADOS,56,Paño microfibra p/ escoba (Unidad),3192.35
Accesorios y consumibles,PRODUCTOS VARIADOS,227,Papel Hig. ECOS 1000 H (Unidad),66.31
Accesorios y consumibles,PRODUCTOS VARIADOS,270,Papel Hig. ECOS 1000 H . (Paquete 1 x 4),1815.46
Accesorios y consumibles,PRODUCTOS VARIADOS,330,Papel Hig. SCOTT Jumbo Roll 400 mts,2297.04
Accesorios y consumibles,PRODUCTOS VARIADOS,215,Servilleta interfoliada POP UP 1x120 (Unidad),452.21
Accesorios y consumibles,PRODUCTOS VARIADOS,512,Servilleta Kleenex Pop Up (18X125),738.48
Accesorios y consumibles,PRODUCTOS VARIADOS,216,Servilleta multiuso (Paq.100 Unids),519.03
Accesorios y consumibles,PRODUCTOS VARIADOS,198,Toalla Interfoliada SCOTT (1X150),2580.20
Accesorios y consumibles,PRODUCTOS VARIADOS,334,Toalla Mayordomo FIESTA 1X3,1929.50
Accesorios y consumibles,PRODUCTOS VARIADOS,234,Toalla Mayordomo Individual (Unid 95 H),1064.35
Accesorios y consumibles,PRODUCTOS VARIADOS,230,Toalla Rollo p/manos SANITISU (Unid. 240 mts),6583.51
Accesorios y consumibles,PRODUCTOS VARIADOS,499,Toallita húmeda 1x80,1729.00
